# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Sun Oct 16 06:02:30 CEST 2016
# isochrones PARSEC release v1.2S + COLIBRI release PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Rosenfield et al. (2016, arXiv:1603.05283)
# Photometric system: HST/ACS WFC
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00015	Y = 0.24900	[M/H] = -2.015	eta_R = 0.200	Age = 	1.3000e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP	C/O	M_hec	period	pmode	logMdot	slope	int_IMF	stage
	0.000150	10.1139	0.6235272884	0.6233	-0.4858	3.7466	4.6569	5.984	6.770	6.530	6.372	6.090	6.194	5.975	5.803	5.577	5.637	5.425	5.374	5.244	0.4787	0.0000	0.0	1	-12.876	0.000	2.3363780975	1
	0.000150	10.1139	0.6346154213	0.6344	-0.4335	3.7532	4.6386	5.854	6.607	6.378	6.225	5.952	6.053	5.841	5.674	5.453	5.511	5.307	5.258	5.133	0.4787	0.0000	0.0	1	-12.785	0.000	2.3431191444	1
	0.000150	10.1139	0.6444447637	0.6442	-0.3866	3.7589	4.6212	5.737	6.462	6.243	6.095	5.830	5.927	5.722	5.559	5.342	5.399	5.201	5.154	5.034	0.4787	0.0000	0.0	1	-12.707	0.000	2.3488721848	1
	0.000150	10.1139	0.6499999762	0.6497	-0.3598	3.7621	4.6108	5.669	6.380	6.166	6.021	5.760	5.856	5.655	5.494	5.278	5.335	5.141	5.095	4.977	0.4787	0.0000	0.0	1	-12.663	0.000	2.3520355225	1
	0.000150	10.1139	0.6539878249	0.6537	-0.3403	3.7643	4.6028	5.621	6.322	6.111	5.968	5.710	5.805	5.605	5.446	5.233	5.288	5.097	5.051	4.935	0.4787	0.0000	0.0	1	-12.631	0.000	2.3542680740	1
	0.000150	10.1139	0.6634811163	0.6631	-0.2928	3.7695	4.5823	5.502	6.181	5.978	5.840	5.587	5.680	5.486	5.330	5.121	5.175	4.989	4.945	4.832	0.4787	0.0000	0.0	1	-12.557	0.000	2.3594589233	1
	0.000150	10.1139	0.6725440621	0.6722	-0.2462	3.7744	4.5612	5.385	6.046	5.850	5.716	5.469	5.560	5.371	5.218	5.011	5.066	4.885	4.842	4.732	0.4787	0.0000	0.0	1	-12.488	0.000	2.3642575741	1
	0.000150	10.1139	0.6805870533	0.6802	-0.2034	3.7787	4.5408	5.278	5.923	5.733	5.602	5.361	5.450	5.265	5.116	4.911	4.966	4.788	4.747	4.640	0.4787	0.0000	0.0	1	-12.427	0.000	2.3683934212	1
	0.000150	10.1139	0.6883798838	0.6880	-0.1604	3.7828	4.5192	5.171	5.797	5.614	5.489	5.254	5.340	5.161	5.016	4.815	4.871	4.696	4.655	4.551	0.4787	0.0000	0.0	1	-12.368	0.000	2.3722946644	1
	0.000150	10.1139	0.6976039410	0.6971	-0.1070	3.7877	4.4910	5.037	5.639	5.467	5.348	5.121	5.204	5.032	4.892	4.697	4.754	4.582	4.543	4.442	0.4787	0.0000	0.0	1	-12.300	0.000	2.3767831326	1
	0.000150	10.1139	0.6999999881	0.6995	-0.0928	3.7889	4.4833	5.002	5.597	5.428	5.311	5.086	5.167	4.998	4.859	4.665	4.722	4.551	4.513	4.413	0.4787	0.0000	0.0	1	-12.283	0.000	2.3779268265	1
	0.000150	10.1139	0.7008422017	0.7004	-0.0878	3.7893	4.4805	4.989	5.583	5.414	5.298	5.073	5.155	4.985	4.847	4.654	4.711	4.540	4.502	4.403	0.4787	0.0000	0.0	1	-12.277	0.000	2.3783266544	1
	0.000150	10.1139	0.7081541419	0.7076	-0.0419	3.7930	4.4536	4.875	5.451	5.289	5.177	4.958	5.037	4.873	4.738	4.549	4.607	4.438	4.400	4.304	0.4787	0.0000	0.0	1	-12.227	0.000	2.3817524910	1
	0.000150	10.1139	0.7169069052	0.7163	0.0164	3.7972	4.4176	4.729	5.286	5.130	5.023	4.811	4.888	4.729	4.598	4.413	4.471	4.305	4.269	4.176	0.4787	0.0000	0.0	1	-12.165	0.000	2.3857476711	1
	0.000150	10.1139	0.7235474586	0.7229	0.0639	3.8003	4.3865	4.610	5.153	5.002	4.899	4.691	4.766	4.611	4.482	4.302	4.360	4.196	4.161	4.070	0.4787	0.0000	0.0	1	-12.118	0.000	2.3887047768	1
	0.000150	10.1139	0.7315695882	0.7309	0.1260	3.8039	4.3434	4.455	4.983	4.837	4.735	4.532	4.606	4.454	4.329	4.151	4.208	4.048	4.014	3.926	0.4787	0.0000	0.0	1	-12.061	0.000	2.3921949863	1
	0.000150	10.1139	0.7388592362	0.7381	0.1882	3.8068	4.2973	4.300	4.815	4.672	4.573	4.374	4.446	4.298	4.174	3.999	4.056	3.898	3.865	3.780	0.4787	0.0000	0.0	1	-12.009	0.000	2.3952908516	1
	0.000150	10.1139	0.7455146909	0.7447	0.2505	3.8092	4.2482	4.144	4.648	4.508	4.411	4.215	4.286	4.140	4.019	3.846	3.902	3.747	3.715	3.631	0.4787	0.0000	0.0	1	-11.962	0.000	2.3980567455	1
	0.000150	10.1139	0.7500000000	0.7491	0.2961	3.8104	4.2100	4.030	4.528	4.389	4.293	4.099	4.169	4.025	3.904	3.733	3.789	3.635	3.603	3.520	0.4787	0.0000	0.0	1	-11.931	0.000	2.3998889923	1
	0.000150	10.1139	0.7526784539	0.7517	0.3237	3.8112	4.1871	3.961	4.454	4.317	4.221	4.029	4.098	3.955	3.835	3.665	3.720	3.568	3.536	3.453	0.4787	0.0000	0.0	1	-11.912	0.000	2.4009711742	1
	0.000150	10.1139	0.7567383647	0.7557	0.3696	3.8118	4.1459	3.846	4.335	4.199	4.103	3.912	3.981	3.839	3.720	3.550	3.606	3.454	3.422	3.340	0.4787	0.0000	0.1	1	-11.885	0.000	2.4025948048	1
	0.000150	10.1139	0.7609611154	0.7598	0.4241	3.8108	4.0897	3.710	4.199	4.062	3.967	3.775	3.845	3.702	3.582	3.411	3.467	3.314	3.283	3.200	0.4787	0.0000	0.1	1	-11.856	0.000	2.4042623043	1
	0.000150	10.1139	0.7644782066	0.7633	0.4760	3.8080	4.0287	3.580	4.075	3.937	3.840	3.645	3.716	3.570	3.449	3.276	3.332	3.178	3.146	3.061	0.4787	0.0000	0.1	1	-11.833	0.000	2.4056348801	1
	0.000150	10.1139	0.7657979131	0.7646	0.4976	3.8064	4.0016	3.526	4.026	3.886	3.788	3.592	3.663	3.516	3.394	3.219	3.276	3.121	3.088	3.002	0.4787	0.0000	0.1	1	-11.824	0.000	2.4061462879	2
